,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,55.07,2.12,1.39,2.96,1.40,0.03,0.06,0.07,0.01
Trees,1.32,2006.60,74.10,5.33,312.42,3.57,7.15,0.03,0.01
Grass,2.27,322.75,2806.87,7.92,2284.13,7.80,15.11,0.22,0.05
Flooded Vegetation,0.27,2.25,1.05,23.64,0.17,0.10,0.01,0.02,0.00
Crops,0.37,49.95,112.15,0.20,18379.14,1.26,14.99,0.15,0.01
Shrub & Scrub,0.14,47.21,14.12,0.94,25.78,61.41,0.61,0.29,0.16
Built,0.02,2.65,2.04,0.00,27.12,0.15,185.74,0.29,0.03
Bare,0.06,0.75,1.08,0.12,6.90,1.94,0.27,11.09,0.13
Snow & Ice,0.01,0.03,0.01,0.01,0.13,0.17,0.07,0.07,0.39
