,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,55.71,1.54,2.10,1.89,1.80,0.12,0.08,0.25,0.01
Trees,2.33,1838.47,65.69,7.23,216.19,22.51,6.94,0.22,0.02
Grass,3.03,218.74,2344.17,7.83,780.12,16.66,7.88,0.39,0.07
Flooded Vegetation,0.90,2.78,1.83,38.04,0.50,0.38,0.01,0.10,0.00
Crops,1.88,150.56,400.92,0.36,20978.32,19.42,31.77,0.85,0.01
Shrub & Scrub,0.11,9.68,5.04,0.46,5.97,62.66,0.21,0.31,0.07
Built,0.06,4.03,5.29,0.00,37.23,0.37,243.31,0.44,0.04
Bare,0.08,0.19,0.94,0.02,2.43,0.24,0.10,2.80,0.00
Snow & Ice,0.11,2.48,2.70,0.09,6.43,0.51,0.26,0.08,0.29
