,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,331.8,10.05,13.36,10.36,11.69,0.66,0.49,1.12,0.24
Trees,13.59,11264.03,637.1,32.6,1207.07,89.17,35.32,0.67,1.15
Grass,13.75,969.1,15556.94,32.14,5111.92,62.81,44.39,1.76,6.86
Flooded Vegetation,6.36,14.61,15.15,204.25,2.87,2.65,0.04,0.36,0.11
Crops,6.18,574.6,2148.73,1.39,122564.25,58.98,131.09,2.84,2.87
Shrub & Scrub,0.5,89.47,51.2,2.67,64.66,372.54,2.3,2.8,1.33
Built,0.21,19.5,34.67,0.02,176.82,1.55,1342.37,1.93,0.41
Bare,0.34,1.52,7.05,0.3,23.66,3.67,0.91,34.53,0.31
Snow & Ice,0.25,5.01,5.54,0.2,13.31,1.45,0.71,0.35,2.25
