,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,300.3,19.61,21.99,17.38,16.74,0.83,0.56,1.39,0.5
Trees,24.37,10054.27,1461.11,52.75,2051.0,176.28,54.64,0.95,2.55
Grass,22.56,1707.68,12614.99,51.76,9630.4,85.18,63.04,2.66,10.61
Flooded Vegetation,14.03,31.94,34.28,163.24,4.35,3.64,0.05,0.45,0.23
Crops,10.96,1324.29,6211.77,2.41,114343.48,99.34,251.81,6.25,14.12
Shrub & Scrub,0.67,164.99,73.73,3.88,106.74,245.96,2.78,5.66,1.93
Built,0.3,36.62,53.35,0.04,295.81,2.11,1199.36,2.06,0.65
Bare,0.63,1.85,7.95,0.41,28.95,6.45,1.06,28.03,0.53
Snow & Ice,0.71,7.65,12.95,0.44,35.64,2.21,1.1,0.61,1.77
