,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,43.01,2.36,4.82,3.73,5.75,0.12,0.03,0.20,0.02
Trees,3.99,1474.99,208.61,9.37,598.95,31.60,15.52,0.15,0.03
Grass,5.17,298.78,1896.03,16.25,3144.58,24.98,23.15,0.93,0.12
Flooded Vegetation,1.00,2.59,2.31,19.20,0.78,0.28,0.00,0.04,0.00
Crops,1.71,134.64,134.64,0.34,17784.83,13.49,42.33,0.48,0.00
Shrub & Scrub,0.64,37.10,22.82,1.77,39.03,39.72,0.35,0.32,0.08
Built,0.04,3.76,5.30,0.00,59.35,0.11,143.76,0.07,0.05
Bare,0.06,0.72,2.82,0.09,16.88,0.42,0.03,0.86,0.01
Snow & Ice,0.01,0.02,0.07,0.03,0.4,0.13,0.05,0.09,0.07
