,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,44.87,1.19,4.11,2.06,5.58,0.11,0.16,0.32,0.00
Trees,8.89,1760.62,448.43,12.51,541.82,54.01,14.72,0.15,0.05
Grass,4.03,123.80,1641.62,6.51,940.79,10.34,7.18,0.36,0.03
Flooded Vegetation,3.97,4.73,8.92,28.76,1.93,0.56,0.01,0.12,0.00
Crops,0.96,170.90,773.45,0.27,19943.75,16.79,62.89,1.14,0.07
Shrub & Scrub,0.04,2.23,6.43,0.34,14.54,31.17,0.39,2.49,0.12
Built,0.02,2.65,6.79,0.02,41.33,0.29,185.38,0.25,0.05
Bare,0.08,0.12,0.97,0.12,3.98,0.42,0.11,6.23,0.02
Snow & Ice,0.01,0.02,0.14,0.01,0.21,0.47,0.02,0.15,0.20
