,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,50.52,2.10,2.82,2.32,2.33,0.15,0.09,0.32,0.01
Trees,4.14,1683.93,190.68,11.63,374.62,38.37,10.66,0.25,0.03
Grass,3.94,258.41,1920.86,10.63,1513.05,19.52,9.92,0.50,0.07
Flooded Vegetation,1.95,4.19,4.14,29.14,0.65,0.45,0.01,0.10,0.00
Crops,2.20,215.83,678.21,0.43,20032.72,21.98,47.79,0.74,0.01
Shrub & Scrub,0.14,13.23,7.73,0.70,10.24,38.08,0.24,0.44,0.08
Built,0.07,5.43,7.33,0.00,51.17,0.46,218.27,0.45,0.04
Bare,0.10,0.28,1.03,0.03,4.01,0.28,0.11,2.18,0.01
Snow & Ice,0.33,3.79,6.36,0.21,17.52,0.69,0.43,0.14,0.27
