,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,15.39,0.02,0,0,0,0,0,0,0
Trees,0.01,6.11,0,0,0,0,0,0,0
Grass,0,0,0,0,0,0,0,0,0
Flooded Vegetation,0,0,0,0,0,0,0,0,0
Crops,0,0,0,0,0,0,0,0,0
Shrub & Scrub,0,0,0,0,0,0,0,0,0
Built,0,0,0,0,0,0,0,0,0
Bare,0,0,0,0,0,0,0,0,0
Snow & Ice,0,0,0,0,0,0,0,0,0
