,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,249.78,17.51,19.17,15.06,14.41,0.68,0.47,1.0699999999999998,0.49000000000000005
Trees,20.23,8370.34,1270.43,41.120000000000005,1676.38,137.91,43.980000000000004,0.7000000000000001,2.5199999999999996
Grass,18.62,1449.27,10694.130000000001,41.13,8117.349999999999,65.66,53.12,2.16,10.54
Flooded Vegetation,12.08,27.75,30.14,134.1,3.7,3.1900000000000004,0.04,0.35,0.23
Crops,8.760000000000002,1108.46,5533.56,1.98,94310.76000000001,77.35999999999999,204.01999999999998,5.51,14.11
Shrub & Scrub,0.53,151.76000000000002,66.0,3.1799999999999997,96.5,207.88,2.54,5.220000000000001,1.85
Built,0.22999999999999998,31.189999999999998,46.019999999999996,0.04,244.64,1.65,981.09,1.61,0.6100000000000001
Bare,0.53,1.5700000000000003,6.92,0.38,24.94,6.17,0.9500000000000001,25.85,0.52
Snow & Ice,0.38,3.86,6.59,0.23,18.119999999999997,1.52,0.6699999999999999,0.47,1.5
