,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,53.04,2.39,5.25,1.29,1.90,0.26,0.07,0.12,0.01
Trees,4.20,1416.50,450.35,6.07,155.01,34.13,5.12,0.13,0.02
Grass,4.43,69.07,2279.84,4.30,513.14,16.61,4.24,0.74,0.03
Flooded Vegetation,4.44,5.35,9.59,29.27,0.58,1.55,0.01,0.07,0.00
Crops,2.46,294.47,2747.01,0.30,18388.93,26.36,36.62,1.20,0.17
Shrub & Scrub,0.11,15.40,19.15,0.59,14.87,60.12,0.51,1.64,0.18
Built,0.06,8.02,21.74,0.01,49.12,0.41,202.94,0.24,0.03
Bare,0.12,0.07,1.89,0.03,5.42,0.33,0.21,5.53,0.04
Snow & Ice,0.02,0.01,0.03,0.00,0.04,0.08,0.09,0.07,0.32
