,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,56.09,0.67,3.01,0.90,1.56,0.22,0.06,0.11,0.00
Trees,1.79,1777.00,210.71,2.14,91.72,11.89,3.30,0.06,0.03
Grass,2.46,32.27,2613.45,2.24,314.32,10.95,3.11,0.34,0.03
Flooded Vegetation,2.03,1.97,5.28,35.38,0.04,1.28,0.00,0.05,0.00
Crops,0.95,68.37,632.79,0.15,20711.01,7.51,14.99,0.40,0.12
Shrub & Scrub,0.08,2.40,14.04,0.37,7.62,64.74,0.39,1.02,0.09
Built,0.03,2.86,13.88,0.01,21.26,0.31,221.33,0.22,0.02
Bare,0.01,0.05,1.82,0.02,4.59,0.21,0.18,5.79,0.02
Snow & Ice,0.01,0.00,0.02,0.00,0.02,0.05,0.05,0.05,0.47
