,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,56.67,3.50,2.44,1.86,1.68,0.10,0.08,0.20,0.21
Trees,0.96,1829.74,73.77,2.29,82.58,7.37,2.90,0.04,1.03
Grass,1.32,142.42,2931.75,2.85,501.01,6.36,6.63,0.19,6.62
Flooded Vegetation,0.71,3.11,2.40,36.16,0.21,0.24,0.00,0.03,0.11
Crops,0.61,78.82,301.14,0.18,20865.93,3.37,11.47,0.20,2.68
Shrub & Scrub,0.04,16.37,9.45,0.23,9.61,63.43,0.55,0.31,0.84
Built,0.03,4.45,4.89,0.00,30.87,0.21,238.92,0.35,0.26
Bare,0.06,0.23,1.41,0.01,3.81,0.65,0.17,3.56,0.15
Snow & Ice,0.01,0.01,0.04,0.00,0.15,0.03,0.05,0.03,0.49
