,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built,Bare,Snow & Ice
Water,52.26,7.09,4.64,4.30,2.94,0.13,0.09,0.22,0.45
Trees,1.26,1572.72,83.89,3.21,250.08,7.04,5.34,0.13,2.39
Grass,2.45,391.85,2660.74,5.91,2546.41,9.05,13.51,0.24,10.30
Flooded Vegetation,1.01,9.53,5.74,26.18,0.35,0.51,0.00,0.03,0.23
Crops,1.08,232.13,915.76,0.37,18041.45,6.32,25.74,1.78,13.79
Shrub & Scrub,0.08,50.67,16.19,0.46,28.83,45.28,0.70,0.70,1.05
Built,0.05,9.35,7.16,0.00,58.60,0.29,210.15,0.37,0.45
Bare,0.32,1.87,0.03,4.56,1.30,0.20,3.11,0.22,0.01
Snow & Ice,0.01,0.04,0.00,0.20,0.07,0.06,0.04,0.40
